,file_id,Entropy,PercentageOfNonGaps,PercentageOfTotallyConservedColumns,SumOfPairsBlosum62,SumOfPairsPAM250,StarBlosum62,StarPAM250
0,1,-318.84770305757553,97.43589743589743,9.270216962524655,-423,-310,2213,2024
1,10,-525.6266521061708,68.5295643153527,0.2074688796680498,7841,12636,8490,8642
2,100,-388.8555682941302,79.71014492753623,9.66183574879227,-1912,-1795,1449,1446
3,104,-162.22615923989596,98.66255144032922,36.11111111111111,228198,230630,25847,25617
4,104s10,-163.76397403899503,98.76543209876543,37.34567901234568,9790,10101,6106,6056
5,104s13,-114.49696462977083,99.45482866043614,49.22118380062305,6675,6732,5292,5162
6,104s14,-155.175279019006,98.40534979423869,36.41975308641975,15506,15814,7552,7439
7,104s16,-163.76397403899503,98.76543209876543,37.34567901234568,9790,10101,6106,6056
8,104s6,-58.08817134049711,99.5846313603323,73.83177570093457,3969,3928,4354,4208
9,104s7,-55.959905455900945,99.06542056074767,73.20872274143302,8078,7926,5837,5633
10,104s8,-57.4516571722023,99.5846313603323,74.14330218068535,3977,3930,4358,4209
11,104t17,-161.37852262766563,98.6304012345679,36.41975308641975,129642,131137,19751,19563
12,104t18,-164.26437646253322,98.76543209876543,37.03703703703704,9774,10097,6109,6056
13,106,-524.0623941363149,71.81372549019608,4.117647058823529,-4252,-4002,835,824
14,106t0,-207.25100698742406,94.12470023980815,28.297362110311752,47,113,2232,2139
15,108,-394.44630025035605,71.56712608473711,7.656967840735068,-2207,-2074,2216,2120
16,108t0,-18.714973875118517,99.73474801061008,92.83819628647215,1839,1755,3814,3619
17,10s10,-316.32970091395987,89.31741659014386,9.090909090909092,20102,21175,8183,8170
18,10s3,-117.05379179767176,93.89204545454545,52.55681818181818,6513,6607,5471,5384
19,10s4,-92.18857501447285,99.0506329113924,57.91139240506329,849,850,2399,2254
20,10s7,-108.13096016735163,98.46625766871166,52.14723926380368,792,837,2436,2331
21,10s8,-189.60894997383573,97.66260162601625,28.65853658536585,1873,1956,3166,3070
