,file_id,Entropy,PercentageOfNonGaps,PercentageOfTotallyConservedColumns,SumOfPairsBlosum62,SumOfPairsPAM250,StarBlosum62,StarPAM250
0,1,-376.37891904405114,79.93527508090615,12.135922330097088,-1818,-1708,929,737
1,10,-534.7201632589636,56.080220713073004,0.8488964346349746,6159,11313,9136,9346
2,100,-401.33221754420924,77.22308892355694,9.67238689547582,-2166,-2098,1215,1163
3,104,-162.22615923989596,98.66255144032922,36.11111111111111,228198,230630,25855,25629
4,104s10,-163.48671516677103,98.76543209876543,37.34567901234568,9817,10130,6087,6034
5,104s13,-114.3661525938297,99.45482866043614,49.22118380062305,6683,6743,5277,5179
6,104s14,-155.17527901900604,98.40534979423869,36.41975308641975,15506,15814,7550,7450
7,104s16,-163.48671516677103,98.76543209876543,37.34567901234568,9817,10130,6103,6055
8,104s6,-58.55026946087041,99.5846313603323,73.83177570093457,3958,3921,4348,4204
9,104s7,-55.959905455900945,99.06542056074767,73.20872274143302,8078,7926,5830,5619
10,104s8,-57.9137552925756,99.5846313603323,74.14330218068535,3966,3923,4352,4205
11,104t17,-161.37852262766563,98.6304012345679,36.41975308641975,129642,131137,19757,19572
12,104t18,-163.98711759030923,98.76543209876543,37.03703703703704,9801,10126,6087,6034
13,106,-605.5362076780555,60.66252587991718,3.1055900621118013,-7848,-7695,-1908,-2019
14,106t0,-207.944154167984,93.89952153110048,28.22966507177033,51,113,2237,2140
15,108,-398.9630494518109,68.42362127867253,10.248901903367496,-2987,-2876,1828,1719
16,108t0,-18.714973875118517,99.73474801061008,92.83819628647215,1839,1755,3814,3619
17,10s10,-316.2119662858401,89.56414978514427,8.83977900552486,20170,21246,8399,8358
18,10s3,-118.09351256851168,94.15954415954415,52.13675213675214,6492,6605,5462,5381
19,10s4,-92.18857501447285,99.0506329113924,57.91139240506329,848,847,2398,2251
20,10s7,-108.13096016735163,98.46625766871166,52.14723926380368,792,835,2436,2329
21,10s8,-189.60894997383573,97.66260162601625,28.65853658536585,1874,1959,3095,2960
22,10t10,-288.242384945191,90.24566473988439,10.69364161849711,743,878,2534,2373
23,10t11,-383.7445940045946,89.6244131455399,4.788732394366197,208,673,2787,2638
24,10t13,-458.6831181778309,83.60313315926894,1.8276762402088773,18625,22570,8219,8299
25,10t5,-108.82410734791158,98.80239520958084,52.99401197604791,838,811,2531,2391
26,10t8,-144.80997744554205,94.1880341880342,41.88034188034188,10655,10957,6681,6627
27,10t9,-208.68159776680645,95.16871165644172,22.085889570552148,3265,3353,3616,3433
28,112,-78.56989075046128,91.31455399061034,19.718309859154928,504,540,1194,1119
29,112t0,-13.16979643063896,100.0,84.8,552,511,1185,1064
30,113,-729.03291984635,56.165377176015475,1.83752417794971,-22041,-22167,-10713,-10754
31,113t1,-26.339592861277897,98.62068965517241,96.25615763546797,4972,4805,10255,9902
32,115,-77.32499763328823,97.98657718120805,63.08724832214765,6811,6852,5027,4992
33,115t0,-72.78045395879433,98.8255033557047,64.76510067114094,1016,1060,2567,2543
34,115t1,-76.93933704215401,97.14765100671141,62.751677852349,899,947,2409,2402
35,116,-301.6919477074598,50.094339622641506,2.1226415094339623,-7237,-6883,216,241
36,116t2,-264.0890757933397,69.14893617021276,9.929078014184398,-1964,-1914,149,43
37,117,-387.4692739330103,87.10407239819004,15.686274509803921,-1019,-948,2142,1936
38,118,-93.84847838157255,80.03875968992249,17.829457364341085,-31,156,720,779
39,118s0,-32.57791748631739,92.07920792079207,53.46534653465347,133,150,578,567
40,118s1,-72.59666314224303,81.77083333333334,27.34375,16,98,730,762
41,119,-387.8636605405996,54.91718426501035,6.055900621118012,-5402,-5280,-376,-353
